ARQUIVO DE REFERENCIA
AMOSTRA: IS-010-E-LN6N
Usuário: Paulo Henrique Diniz
Área: 0.7853981634 mm²
Responsividade máxima: 430000 V/W 
Tipo: Absoluta
Método para achar os pontos abaixo: Multiplicação da curva normalizada pela responsividade máxima.
Responsividade(V/W)	Comprimento de onda(nm)
120419.35 2009.590517
121064.78 2027.561147
121793.63 2045.998466
122980.43 2064.476428
123471.49 2084.27061
123892.03 2100.537122
125365.64 2121.337128
125424.98 2138.183992
126671.98 2156.667301
127620.99 2176.502126
128741.57 2194.055547
129870.75 2212.0691
129996.74 2230.452942
130325.69 2248.395477
131927.01 2266.910231
132158.78 2285.76276
133253.99 2299.639414
134098.51 2322.68018
134562.05 2341.093969
135634.47 2358.183838
137639.13 2373.519173
138279.83 2391.948651
139590.9 2406.610009
140858.97 2424.329644
141359.06 2438.153535
143153.45 2452.092222
145328.39 2470.657885
147017.86 2485.225362
148909.86 2505.424386
150236.84 2528.507934
151528.56 2547.913857
153092.47 2565.506638
154682.61 2582.489333
155878.44 2600.202549
157089.32 2618.68265
158982.61 2636.270967
159709.74 2648.074322
160743.03 2661.110863
161709.67 2674.848709
163062.02 2688.492305
163707.02 2702.457519
164656.89 2716.830918
165927.54 2731.999378
167085.1 2747.540053
168195.36 2762.184687
169225.21 2776.947389
170654.53 2792.845825
171861.54 2808.313129
173152.83 2826.800362
174784.25 2842.766373
176283.23 2854.637086
177973.99 2866.862801
179442.44 2877.883209
180762.97 2891.269158
182083.07 2905.165778
183465.95 2920.174704
185065.98 2933.959474
186636.34 2948.31192
188186.92 2964.652982
189707.4 2979.205492
191162.95 2994.134477
192697.62 3010.346724
194292.92 3022.354482
195663.76 3036.689241
197010.52 3053.438061
198362.87 3066.605485
199777.57 3082.168969
201095.09 3098.489361
202801.33 3112.166493
204202.27 3125.55958
205641.48 3140.869876
207306.44 3155.307272
208802.41 3170.112429
210322.03 3183.873638
212163.29 3200.393614
214042.39 3217.912641
215648.01 3235.66223
217591.61 3252.80369
219344.29 3269.652914
221253.06 3284.592293
222365.9 3299.66969
224241.13 3317.749413
225449.43 3334.391987
227327.24 3352.931265
228693.78 3368.363078
230129.55 3379.207844
231453.52 3396.932468
232048.64 3413.979983
232877.68 3433.344836
233350.68 3452.218756
232995.93 3469.0289
233007.54 3488.933673
232894.02 3512.348726
233271.13 3530.29554
233155.89 3548.657992
234270.45 3567.129536
235746.64 3585.633166
236065.27 3604.034121
238628.93 3620.337634
240153.28 3638.845542
241842.75 3652.774963
243488.36 3662.74541
245181.27 3676.934256
246613.6 3687.646987
248384.34 3700.945472
250060.05 3712.577081
252155.01 3727.442926
253763.64 3737.913271
255344.32 3748.770877
257034.22 3762.318097
259274.52 3772.467634
260986.35 3780.147402
262813.85 3790.017359
264650.38 3801.919117
266114.1 3816.722513
268378.91 3829.28744
269938.09 3845.118552
272069.17 3859.852644
274210.14 3872.545862
276051.4 3887.509076
277860.84 3899.936416
279654.37 3916.919871
281520.14 3931.885233
283094.37 3940.573138
285053.02 3950.953583
287085.2 3959.938009
288387.67 3975.491519
290293.43 3982.550342
292310.13 3991.150076
294724.58 4003.612746
296678.93 4010.037785
298801.41 4017.371733
300630.63 4025.265323
302496.4 4034.183807
304335.94 4043.151127
306211.6 4048.905137
308478.56 4056.378242
310995.35 4063.109068
313270.48 4070.582876
315365.44 4080.975446
317561.45 4087.16709
320156.07 4096.456217
322135.79 4109.773238
325003.46 4119.342481
327694.4 4128.767569
330046.5 4131.400256
331891.2 4143.046844
334157.73 4143.247917
336561 4150.989014
338829.25 4164.969773
341174.04 4166.836286
343280.61 4182.078904
345229.8 4187.645082
347200.92 4199.523172
349114.85 4206.58271
351033.94 4215.939334
353283.7 4224.68714
355979.37 4229.64741
357392.78 4246.359082
359537.19 4255.608284
362004.96 4263.355081
363889.22 4275.770698
365823.36 4286.404876
367661.61 4296.518764
369642.62 4308.177448
370980.35 4316.122
372819.89 4325.08932
374656.42 4336.991078
376561.32 4349.109447
378329.48 4360.794594
379800.94 4372.106824
380814.88 4386.869206
382357.72 4399.303102
383684.7 4410.090734
384745.51 4426.133513
386499.48 4440.196038
388103.38 4459.221199
389285.88 4481.909183
390103.74 4499.588885
390794.75 4515.726265
391368.8 4535.808348
391787.19 4551.409738
392444.66 4568.820394
393618.13 4584.364647
393884.3 4599.315505
394326.77 4614.792717
394894.8 4633.215777
