ARQUIVO DE REFERENCIA
AMOSTRA: IS-010-E-LN6N
Usuário: Paulo Henrique Diniz
Tipo: Normalizada
Método para achar os pontos abaixo: Obtenção da curva da imagem do data sheet.
EixoY(0-1)	Comprimento de onda(nm)
0.280045 2009.590517
0.281546 2027.561147
0.283241 2045.998466
0.286001 2064.476428
0.287143 2084.27061
0.288121 2100.537122
0.291548 2121.337128
0.291686 2138.183992
0.294586 2156.667301
0.296793 2176.502126
0.299399 2194.055547
0.302025 2212.0691
0.302318 2230.452942
0.303083 2248.395477
0.306807 2266.910231
0.307346 2285.76276
0.309893 2299.639414
0.311857 2322.68018
0.312935 2341.093969
0.315429 2358.183838
0.320091 2373.519173
0.321581 2391.948651
0.32463 2406.610009
0.327579 2424.329644
0.328742 2438.153535
0.332915 2452.092222
0.337973 2470.657885
0.341902 2485.225362
0.346302 2505.424386
0.349388 2528.507934
0.352392 2547.913857
0.356029 2565.506638
0.359727 2582.489333
0.362508 2600.202549
0.365324 2618.68265
0.369727 2636.270967
0.371418 2648.074322
0.373821 2661.110863
0.376069 2674.848709
0.379214 2688.492305
0.380714 2702.457519
0.382923 2716.830918
0.385878 2731.999378
0.38857 2747.540053
0.391152 2762.184687
0.393547 2776.947389
0.396871 2792.845825
0.399678 2808.313129
0.402681 2826.800362
0.406475 2842.766373
0.409961 2854.637086
0.413893 2866.862801
0.417308 2877.883209
0.420379 2891.269158
0.423449 2905.165778
0.426665 2920.174704
0.430386 2933.959474
0.434038 2948.31192
0.437644 2964.652982
0.44118 2979.205492
0.444565 2994.134477
0.448134 3010.346724
0.451844 3022.354482
0.455032 3036.689241
0.458164 3053.438061
0.461309 3066.605485
0.464599 3082.168969
0.467663 3098.489361
0.471631 3112.166493
0.474889 3125.55958
0.478236 3140.869876
0.482108 3155.307272
0.485587 3170.112429
0.489121 3183.873638
0.493403 3200.393614
0.497773 3217.912641
0.501507 3235.66223
0.506027 3252.80369
0.510103 3269.652914
0.514542 3284.592293
0.51713 3299.66969
0.521491 3317.749413
0.524301 3334.391987
0.528668 3352.931265
0.531846 3368.363078
0.535185 3379.207844
0.538264 3396.932468
0.539648 3413.979983
0.541576 3433.344836
0.542676 3452.218756
0.541851 3469.0289
0.541878 3488.933673
0.541614 3512.348726
0.542491 3530.29554
0.542223 3548.657992
0.544815 3567.129536
0.548248 3585.633166
0.548989 3604.034121
0.554951 3620.337634
0.558496 3638.845542
0.562425 3652.774963
0.566252 3662.74541
0.570189 3676.934256
0.57352 3687.646987
0.577638 3700.945472
0.581535 3712.577081
0.586407 3727.442926
0.590148 3737.913271
0.593824 3748.770877
0.597754 3762.318097
0.602964 3772.467634
0.606945 3780.147402
0.611195 3790.017359
0.615466 3801.919117
0.61887 3816.722513
0.624137 3829.28744
0.627763 3845.118552
0.632719 3859.852644
0.637698 3872.545862
0.64198 3887.509076
0.646188 3899.936416
0.650359 3916.919871
0.654698 3931.885233
0.658359 3940.573138
0.662914 3950.953583
0.66764 3959.938009
0.670669 3975.491519
0.675101 3982.550342
0.679791 3991.150076
0.685406 4003.612746
0.689951 4010.037785
0.694887 4017.371733
0.699141 4025.265323
0.70348 4034.183807
0.707758 4043.151127
0.71212 4048.905137
0.717392 4056.378242
0.723245 4063.109068
0.728536 4070.582876
0.733408 4080.975446
0.738515 4087.16709
0.744549 4096.456217
0.749153 4109.773238
0.755822 4119.342481
0.76208 4128.767569
0.76755 4131.400256
0.77184 4143.046844
0.777111 4143.247917
0.7827 4150.989014
0.787975 4164.969773
0.793428 4166.836286
0.798327 4182.078904
0.80286 4187.645082
0.807444 4199.523172
0.811895 4206.58271
0.816358 4215.939334
0.82159 4224.68714
0.827859 4229.64741
0.831146 4246.359082
0.836133 4255.608284
0.841872 4263.355081
0.846254 4275.770698
0.850752 4286.404876
0.855027 4296.518764
0.859634 4308.177448
0.862745 4316.122
0.867023 4325.08932
0.871294 4336.991078
0.875724 4349.109447
0.879836 4360.794594
0.883258 4372.106824
0.885616 4386.869206
0.889204 4399.303102
0.89229 4410.090734
0.894757 4426.133513
0.898836 4440.196038
0.902566 4459.221199
0.905316 4481.909183
0.907218 4499.588885
0.908825 4515.726265
0.91016 4535.808348
0.911133 4551.409738
0.912662 4568.820394
0.915391 4584.364647
0.91601 4599.315505
0.917039 4614.792717
0.91836 4633.215777
0.919679 4652.404297
0.920717 4668.673091
0.921108 4688.438609
0.924238 4700.679048
0.926184 4715.170943
0.927007 4730.895106
0.927158 4746.338808
0.927579 4757.838893
0.928437 4774.431628
0.932032 4787.608458
0.935492 4794.630202
0.938182 4810.808933
0.938769 4831.500562
0.942104 4844.131038
0.945866 4857.415968
0.948622 4869.896947
0.951883 4882.014977
0.954851 4891.569366
0.957809 4905.461714
0.960547 4917.30499
0.963501 4932.855651
0.966228 4943.243442
0.969539 4956.051855
0.971196 4966.705046
0.97433 4985.19727
0.977727 5002.934013
0.981721 5021.459034
0.983493 5040.358624
0.986344 5058.380732
0.989048 5076.856561
0.991716 5094.565498
0.993123 5116.053947
0.994638 5139.077601
0.996357 5155.219259
0.99697 5172.721286
0.997389 5193.406509
0.997193 5212.665732
0.996877 5235.619511
0.995296 5256.228431
0.993218 5281.41156
0.993516 5297.499027
0.991175 5307.361578
0.988067 5325.48825
0.984291 5341.420279
0.980928 5356.729928
0.977527 5372.038154
0.972226 5384.722482
0.969734 5395.344784
0.964338 5400.752437
0.959179 5407.241942
0.95421 5415.421784
0.949005 5419.178255
0.937543 5419.456171
0.942986 5419.586721
0.93296 5422.777037
0.928882 5424.152517
0.925081 5427.06961
0.911114 5428.935058
0.919692 5429.670761
0.9067 5430.06752
0.915522 5430.404076
0.901875 5431.415569
0.896371 5434.904745
0.891511 5435.357429
0.885881 5440.995842
0.881836 5448.129703
0.871479 5449.01082
0.876449 5449.838538
0.865568 5451.081878
0.86006 5451.749561
0.854685 5453.090667
0.848846 5456.057432
0.843528 5460.065504
0.837392 5462.51019
0.832375 5465.891603
0.826501 5467.964092
0.820455 5473.716215
0.788257 5476.329514
0.795939 5476.366694
0.80334 5476.904924
0.808218 5477.091024
0.814605 5478.993192
0.783189 5480.652236
0.77764 5484.472671
0.771985 5488.850086
0.765436 5491.917157
0.759882 5492.853577
0.753617 5494.400972
0.748122 5494.829417
0.743033 5496.675974
0.736995 5496.94445
0.731471 5501.083938
0.703805 5502.325042
0.708627 5502.508997
0.713898 5502.710069
0.720512 5503.600542
0.725596 5503.794488
0.699296 5512.359666
0.693793 5515.722537
0.682278 5515.921381
0.677456 5515.992222
0.687885 5516.135284
0.671472 5517.422366
0.665561 5518.982761
0.659327 5521.476207
0.653846 5525.299209
0.648835 5525.872489
0.642997 5528.584464
0.637796 5530.682621
0.632015 5532.886621
0.626941 5536.520143
0.621062 5541.144886
0.615118 5541.30034
0.609591 5541.804716
0.603599 5543.157485
0.597168 5543.550263
0.591553 5547.291058
0.585868 5548.476744
0.580372 5552.597848
0.574484 5556.464334
0.561419 5556.603986
0.568321 5558.007509
0.555374 5559.818252
0.549399 5560.220323
0.542588 5560.478725
0.537342 5568.564421
0.530786 5571.384004
0.524563 5578.801868
0.507031 5579.025907
0.513272 5579.647324
0.518652 5580.872927
0.50052 5581.457416
0.495249 5581.638539
0.489202 5586.000986
0.483755 5589.366002
0.477955 5591.56765
0.464982 5591.966744
0.446738 5592.546949
0.471073 5593.092041
0.452568 5593.533803
0.458324 5594.009291
0.44167 5601.794735
0.436578 5605.044801
0.429579 5608.606517
0.423399 5613.728344
0.398949 5614.709901
0.411433 5615.186205
0.416702 5616.152724
0.405448 5616.998531
0.39381 5621.785842
0.370315 5630.075796
0.382426 5630.155628
0.377192 5630.338168
0.38818 5631.396576
0.364799 5639.051677
0.341987 5640.348398
0.348005 5640.578006
0.353164 5640.774813
0.359182 5641.004421
0.324853 5647.99028
0.3373 5648.465153
0.331241 5649.892448
0.318689 5652.527095
0.31458 5660.995623
0.308596 5662.169892
0.303202 5666.68577
0.290115 5667.972367
0.296582 5668.219063
0.284637 5673.836172
0.278686 5680.039564
0.271951 5682.462521
0.265063 5686.409595
0.25818 5688.443574
0.252342 5690.900755
0.247329 5692.622764
0.241255 5695.199431
0.234905 5698.018196
0.228654 5701.73474
0.215229 5703.519169
0.222218 5704.4239
0.207636 5705.39866
0.201125 5708.212355
0.195096 5712.575517
0.189772 5719.262142
0.183444 5723.613888
0.177235 5725.291353
0.171841 5730.060955
0.166365 5730.49343
0.1612 5733.231061
0.154741 5736.680559
0.148282 5741.542359
0.14269 5742.472445
0.132956 5748.864488
0.126824 5749.394987
0.137944 5749.95206
0.121269 5755.792292
0.114691 5758.118451
0.109285 5768.119936
0.102171 5772.696527
0.095622 5775.763599
0.08974 5781.408587
0.083493 5783.084622
0.077781 5786.081931
0.071032 5788.222746
0.063422 5797.500955
0.05768 5807.106336
0.05033 5819.942692
0.045068 5828.57068
0.040006 5835.267292
0.035785 5849.523894
0.031866 5863.153857
0.029889 5876.857943
0.027118 5894.486789
0.025056 5912.78079
0.02412 5929.332954
0.023826 5943.227535
0.021955 5959.614482
0.0206 5979.338023
0.01956 5997.819987

