ARQUIVO DE REFERENCIA
AMOSTRA: MCT14-010-E-LN6N
Usuário: Paulo Henrique Diniz
Área: 1mm²
Responsividade máxima: 500000 V/W
Tipo: Absoluta
Método para achar os pontos abaixo: Multiplicação da curva normalizada pela responsividade máxima.
Responsividade (V/W)	Comprimento de onda(nm)
100298.5 2200.063425
102528.5 2255.955338
104098 2303.514639
105911 2347.637962
107678.5 2400.29873
109403 2450.336072
111348 2503.890162
113247.5 2548.013485
115865.5 2606.80689
118599 2652.238157
121447 2704.350493
124398.5 2754.859373
127040.5 2799.48552
130450.5 2844.652937
133701.5 2900.773914
136635.5 2944.868968
139449 2995.377848
141728 3061.119564
143369 3125.257824
144923.5 3189.396084
146651 3253.534343
148407 3322.482973
150191.5 3387.155718
152645 3436.312621
155473.5 3492.449361
158649 3534.13923
161065.5 3576.89807
163654.5 3618.320696
166847.5 3670.433032
169782 3714.528086
172342 3761.81429
175219 3806.726835
178325.5 3862.847812
181317.5 3918.968789
183504.5 3967.072484
186151 4015.176179
188683 4072.900613
192135 4135.435416
194184.5 4185.095279
196039 4232.846859
197594.5 4283.182479
198956 4343.884761
200424.5 4408.023021
202119.5 4471.642558
203620 4536.299541
205193 4598.834344
206642 4635.179358
207592.5 4696.64519
209320 4760.78345
210788.5 4824.92171
212429 4889.05997
214070 4953.19823
215682 5011.991634
217265.5 5081.474749
218992.5 5145.613009
220392 5208.147812
222102 5273.889529
223743 5338.027789
225297.5 5400.562592
227161.5 5451.386003
229096 5498.373438
231513 5562.511698
233757.5 5626.649958
236261 5690.788218
238592 5754.926478
240836.5 5813.719883
243426.5 5883.202997
245843.5 5947.341257
248417 6012.624843
250764 6075.617777
252855.5 6139.756037
255081 6203.894297
256118 6268.032557
256896.5 6332.170816
257675 6396.309076
258625.5 6460.447336
259318 6524.585596
259975.5 6590.327312
262668 6635.224094
265533 6676.913963
268743 6715.396919
271918.5 6763.500614
274938.5 6797.1732
277441 6835.703445
280030 6869.328743
283136.5 6909.415155
286691.5 6955.915393
290212.5 7005.622545
292198 7069.760805
293666.5 7133.899065
294876 7198.037324
297207.5 7278.210149
298917.5 7343.951866
300230.5 7408.090125
301871.5 7470.624929
303598.5 7534.763189
305009.5 7598.901449
306909.5 7665.712136
308349 7727.177968
310248.5 7791.316228
313011 7855.454488
316463 7919.592748
319203 7984.24973
322217 8039.851985
324749 8087.95568
327511 8144.076657
330704 8208.214917
333121.5 8272.353177
335036.5 8322.013039
337193.5 8388.146903
339295.5 8440.197387
341668 8496.837086
343947 8565.785716
346071 8625.113606
347884.5 8689.251866
349094 8753.390126
350622.5 8809.274659
352370.5 8880.412414
354103 8945.804905
356089 9009.943165
359212 9043.615752
362215 9082.098708
364976.5 9114.167838
367737.5 9146.236967
370464.5 9184.719923
373087.5 9210.375227
375917.5 9236.030531
378782 9274.513487
381802 9306.582617
384304.5 9338.651747
386407 9362.656306
389563 9391.982454
392074 9434.937952
394283 9481.406664
396558.5 9523.049244
399043 9569.549482
401737 9616.505392
404080 9670.472664
406188.5 9720.159461
408682.5 9758.768521
410760.5 9797.37758
413368.5 9830.975943
415614.5 9864.585478
418240.5 9893.90023
421169.5 9922.278386
424433 9963.999781
427901.5 10002.482737
431008 10037.758779
434010.5 10076.241735
437030.5 10108.310865
439878 10140.379995
442991 10174.250121
445762 10222.187802
447563 10280.109776
448941 10340.812057
450438.5 10404.950317
451981.5 10467.943251
453691.5 10533.226837
454498.5 10597.365097
456601.5 10634.857896
458698.5 10677.537921
461115.5 10733.658899
463791.5 10789.779876
466381 10853.918136
468941.5 10910.039113
470870 10966.160091
472878 11012.660329
474410 11078.402046
475533.5 11142.540305
476915.5 11206.678565
478038.5 11270.816825
479076 11334.955085
480391.5 11407.142153
481323 11479.26617
482187.5 11543.404429
483225 11607.542689
483917 11671.680949
484695.5 11735.819209
485371 11801.560925
486252 11864.095729
487030.5 11928.233989
487895 11992.3722479999
488673.5 12056.510508
489365.5 12120.648768
489971 12184.787028
491368.5 12232.890723
492821 12297.028983
494289.5 12361.167243
496016.5 12425.305502
497721 12487.840306
499126 12553.582022
498610.5 12617.720282
496266.5 12632.198679
493468.5 12660.997844
491022.5 12689.875824
487659.5 12721.944954
484366 12760.42791
481422.5 12786.083214
478123.5 12819.787326
474898 12850.221474
471880 12882.290604
468431 12914.359734
465413 12946.428864
462361 12984.91182
458888.5 13005.222269
455208.5 13010.567124
452563.5 13010.567124
449343.5 13019.700666
446044 13031.427821
443249 13050.653536
440661.5 13050.653536
437061.5 13064.534396
433704.5 13073.667938
430053.5 13087.548798
426230 13101.429658
422665 13105.737068
418669 13114.791796
414500.5 13133.498788
411165.5 13140.478626
407313.5 13155.396931
403921 13170.912773
400262.5 13174.151212
396043.5 13186.947338
392191.5 13194.964621
388741.5 13202.981903
385981.5 13202.981903
383049 13210.999186
380001.5 13219.016468
377184 13227.033751
374274 13239.358443
371377 13251.085598
368042 13259.102881
365282.5 13275.137446
362522.5 13275.137446
359763 13291.17201
356635.5 13293.325715
353827.5 13302.380443
349630 13307.206575
346219 13330.220978
343203.5 13339.275705
340443.5 13339.275705
337683.5 13355.31027
334349 13362.290108
331819 13371.344835
328283 13379.362118
325609 13387.3794
322418 13391.388042
319054.5 13400.741538
316985 13419.44853
313535 13427.465813
310361 13438.737297
307095.5 13454.190088
302323 13467.552225
298216.5 13485.158721
293871 13496.948928
290335.5 13515.65592
286109.5 13539.707767
282027.5 13561.087187
278397 13578.648854
274553 13587.811462
270298 13598.501172
267308 13603.846027
264376 13611.86331
261444 13632.771296
258994 13640.820104
256384 13651.949722
253049.5 13667.984287
250117. 13676.00157
245833.5 13692.036135
241608 13716.087982
237640.5 13724.105264
233759.5 13740.139829
229534 13764.191677
225107 13779.188797
221168 13792.252166
217402.5 13812.295372
214183 13828.329937
210618.5 13849.709357
207514 13871.088777
203748 13892.468197
199419 13914.916588
196417.5 13932.554609
193255.5 13947.991637
188587.5 13985.468673
184172 14004.710151
180722 14012.727434
177790 14033.588131
174283 14058.158701
171523.5 14074.193266
168649 14090.227831
165774.5 14106.262396
162353.5 14124.969389
158904 14149.021236
155023 14165.055801
150596 14189.107648
147262 14221.176778
143640 14238.846326
139586.5 14253.245908
135878.5 14277.297756
132083.5 14293.332321
129094. 14309.366886
125989.5 14325.401451
122999.5 14341.436016
120286.5 14370.298233
117337 14381.522428
114232 14393.548352
110696 14405.574275
107764 14413.591558
105349.5 14437.72222
102503.5 14453.67797
99628.5 14461.695253
96122 14485.7471
92068.5 14507.12652
89079 14523.161085
85859 14539.19565
82984.5 14555.230215
79564 14573.937208
75597 14597.989055
72234 14630.058185
69647.5 14662.127315
67003.5 14694.196445
63698. 14726.265575
61025 14764.748531
58438.5 14794.412476
55230.5 14816.059138
53490.5 14845.512129
51368.5 14875.921514
48868 14902.645789
45763.5 14934.714919
42918.5 14966.784049
39849 15008.473918
37919 15071.008721
35506 15135.146981
33300 15197.681785
31254. 15234.026799
29645.5 15295.492631
27146.5 15359.630891
25854 15399.717303
