ARQUIVO DE REFERENCIA
AMOSTRA: MCT14-010-E-LN6N
Usuário: Paulo Henrique Diniz
Tipo: Normalizada
Método para achar os pontos abaixo: Obtenção da curva da imagem do data sheet.
Observação: o ponto máxima da responsividade do gráfico é 12,5 um e não 13,5um como aponta nas especificações.
EixoY(0-1)	Comprimento de onda(nm)
0.200597 2200.063425
0.205057 2255.955338
0.208196 2303.514639
0.211822 2347.637962
0.215357 2400.29873
0.218806 2450.336072
0.222696 2503.890162
0.226495 2548.013485
0.231731 2606.80689
0.237198 2652.238157
0.242894 2704.350493
0.248797 2754.859373
0.254081 2799.48552
0.260901 2844.652937
0.267403 2900.773914
0.273271 2944.868968
0.278898 2995.377848
0.283456 3061.119564
0.286738 3125.257824
0.289847 3189.396084
0.293302 3253.534343
0.296814 3322.482973
0.300383 3387.155718
0.30529 3436.312621
0.310947 3492.449361
0.317298 3534.13923
0.322131 3576.89807
0.327309 3618.320696
0.333695 3670.433032
0.339564 3714.528086
0.344684 3761.81429
0.350438 3806.726835
0.356651 3862.847812
0.362635 3918.968789
0.367009 3967.072484
0.372302 4015.176179
0.377366 4072.900613
0.38427 4135.435416
0.388369 4185.095279
0.392078 4232.846859
0.395189 4283.182479
0.397912 4343.884761
0.400849 4408.023021
0.404239 4471.642558
0.40724 4536.299541
0.410386 4598.834344
0.413284 4635.179358
0.415185 4696.64519
0.41864 4760.78345
0.421577 4824.92171
0.424858 4889.05997
0.42814 4953.19823
0.431364 5011.991634
0.434531 5081.474749
0.437985 5145.613009
0.440784 5208.147812
0.444204 5273.889529
0.447486 5338.027789
0.450595 5400.562592
0.454323 5451.386003
0.458192 5498.373438
0.463026 5562.511698
0.467515 5626.649958
0.472522 5690.788218
0.477184 5754.926478
0.481673 5813.719883
0.486853 5883.202997
0.491687 5947.341257
0.496834 6012.624843
0.501528 6075.617777
0.505711 6139.756037
0.510162 6203.894297
0.512236 6268.032557
0.513793 6332.170816
0.51535 6396.309076
0.517251 6460.447336
0.518636 6524.585596
0.519951 6590.327312
0.525336 6635.224094
0.531066 6676.913963
0.537486 6715.396919
0.543837 6763.500614
0.549877 6797.1732
0.554882 6835.703445
0.56006 6869.328743
0.566273 6909.415155
0.573383 6955.915393
0.580425 7005.622545
0.584396 7069.760805
0.587333 7133.899065
0.589752 7198.037324
0.594415 7278.210149
0.597835 7343.951866
0.600461 7408.090125
0.603743 7470.624929
0.607197 7534.763189
0.610019 7598.901449
0.613819 7665.712136
0.616698 7727.177968
0.620497 7791.316228
0.626022 7855.454488
0.632926 7919.592748
0.638406 7984.24973
0.644434 8039.851985
0.649498 8087.95568
0.655022 8144.076657
0.661408 8208.214917
0.666243 8272.353177
0.670073 8322.013039
0.674387 8388.146903
0.678591 8440.197387
0.683336 8496.837086
0.687894 8565.785716
0.692142 8625.113606
0.695769 8689.251866
0.698188 8753.390126
0.701245 8809.274659
0.704741 8880.412414
0.708206 8945.804905
0.712178 9009.943165
0.718424 9043.615752
0.72443 9082.098708
0.729953 9114.167838
0.735475 9146.236967
0.740929 9184.719923
0.746175 9210.375227
0.751835 9236.030531
0.757564 9274.513487
0.763604 9306.582617
0.768609 9338.651747
0.772814 9362.656306
0.779126 9391.982454
0.784148 9434.937952
0.788566 9481.406664
0.793117 9523.049244
0.798086 9569.549482
0.803474 9616.505392
0.80816 9670.472664
0.812377 9720.159461
0.817365 9758.768521
0.821521 9797.37758
0.826737 9830.975943
0.831229 9864.585478
0.836481 9893.90023
0.842339 9922.278386
0.848866 9963.999781
0.855803 10002.482737
0.862016 10037.758779
0.868021 10076.241735
0.874061 10108.310865
0.879756 10140.379995
0.885982 10174.250121
0.891524 10222.187802
0.895126 10280.109776
0.897882 10340.812057
0.900877 10404.950317
0.903963 10467.943251
0.907383 10533.226837
0.908997 10597.365097
0.913203 10634.857896
0.917397 10677.537921
0.922231 10733.658899
0.927583 10789.779876
0.932762 10853.918136
0.937883 10910.039113
0.94174 10966.160091
0.945756 11012.660329
0.94882 11078.402046
0.951067 11142.540305
0.953831 11206.678565
0.956077 11270.816825
0.958152 11334.955085
0.960783 11407.142153
0.962646 11479.26617
0.964375 11543.404429
0.96645 11607.542689
0.967834 11671.680949
0.969391 11735.819209
0.970742 11801.560925
0.972504 11864.095729
0.974061 11928.233989
0.97579 11992.3722479999
0.977347 12056.510508
0.978731 12120.648768
0.979942 12184.787028
0.982737 12232.890723
0.985642 12297.028983
0.988579 12361.167243
0.992033 12425.305502
0.995442 12487.840306
0.998252 12553.582022
0.997221 12617.720282
0.992533 12632.198679
0.986937 12660.997844
0.982045 12689.875824
0.975319 12721.944954
0.968732 12760.42791
0.962845 12786.083214
0.956247 12819.787326
0.949796 12850.221474
0.94376 12882.290604
0.936862 12914.359734
0.930826 12946.428864
0.924722 12984.91182
0.917777 13005.222269
0.910417 13010.567124
0.905127 13010.567124
0.898687 13019.700666
0.892088 13031.427821
0.886498 13050.653536
0.881323 13050.653536
0.874123 13064.534396
0.867409 13073.667938
0.860107 13087.548798
0.85246 13101.429658
0.84533 13105.737068
0.837338 13114.791796
0.829001 13133.498788
0.822331 13140.478626
0.814627 13155.396931
0.807842 13170.912773
0.800525 13174.151212
0.792087 13186.947338
0.784383 13194.964621
0.777483 13202.981903
0.771963 13202.981903
0.766098 13210.999186
0.760003 13219.016468
0.754368 13227.033751
0.748548 13239.358443
0.742754 13251.085598
0.736084 13259.102881
0.730565 13275.137446
0.725045 13275.137446
0.719526 13291.17201
0.713271 13293.325715
0.707655 13302.380443
0.69926 13307.206575
0.692438 13330.220978
0.686407 13339.275705
0.680887 13339.275705
0.675367 13355.31027
0.668698 13362.290108
0.663638 13371.344835
0.656566 13379.362118
0.651218 13387.3794
0.644836 13391.388042
0.638109 13400.741538
0.63397 13419.44853
0.62707 13427.465813
0.620722 13438.737297
0.614191 13454.190088
0.604646 13467.552225
0.596433 13485.158721
0.587742 13496.948928
0.580671 13515.65592
0.572219 13539.707767
0.564055 13561.087187
0.556794 13578.648854
0.549106 13587.811462
0.540596 13598.501172
0.534616 13603.846027
0.528752 13611.86331
0.522888 13632.771296
0.517988 13640.820104
0.512768 13651.949722
0.506099 13667.984287
0.500234 13676.00157
0.491667 13692.036135
0.483216 13716.087982
0.475281 13724.105264
0.467519 13740.139829
0.459068 13764.191677
0.450214 13779.188797
0.442336 13792.252166
0.434805 13812.295372
0.428366 13828.329937
0.421237 13849.709357
0.415028 13871.088777
0.407496 13892.468197
0.398838 13914.916588
0.392835 13932.554609
0.386511 13947.991637
0.377175 13985.468673
0.368344 14004.710151
0.361444 14012.727434
0.35558 14033.588131
0.348566 14058.158701
0.343047 14074.193266
0.337298 14090.227831
0.331549 14106.262396
0.324707 14124.969389
0.317808 14149.021236
0.310046 14165.055801
0.301192 14189.107648
0.294524 14221.176778
0.28728 14238.846326
0.279173 14253.245908
0.271757 14277.297756
0.264167 14293.332321
0.258188 14309.366886
0.251979 14325.401451
0.245999 14341.436016
0.240573 14370.298233
0.234674 14381.522428
0.228464 14393.548352
0.221392 14405.574275
0.215528 14413.591558
0.210699 14437.72222
0.205007 14453.67797
0.199257 14461.695253
0.192244 14485.7471
0.184137 14507.12652
0.178158 14523.161085
0.171718 14539.19565
0.165969 14555.230215
0.159128 14573.937208
0.151194 14597.989055
0.144468 14630.058185
0.139295 14662.127315
0.134007 14694.196445
0.127396 14726.265575
0.12205 14764.748531
0.116877 14794.412476
0.110461 14816.059138
0.106981 14845.512129
0.102737 14875.921514
0.097736 14902.645789
0.091527 14934.714919
0.085837 14966.784049
0.079698 15008.473918
0.075838 15071.008721
0.071012 15135.146981
0.0666 15197.681785
0.062508 15234.026799
0.059291 15295.492631
0.054293 15359.630891
0.051708 15399.717303
