ARQUIVO DE REFERENCIA
AMOSTRA: Si Photodiode S-series 
Usuário: Paulo Henrique Diniz
Área: 0.7853981634 mm²
Responsividade máxima: 500000000 V/W @ ~899nm
Tipo: Absoluta
Responsividade (V/W)	Comprimento de onda(nm)
9135153.82670045 204.751353
10165654.2301268 212.665313
11281312.8471918 220.579274
12397831.648233 228.493235
13685527.0605277 236.407195
15487612.4905595 244.321156
18183429.0718099 251.575619
21496857.7479352 260.149077
25359943.9848195 268.063037
29738280.423417 275.976998
34116616.8620145 283.890958
38666129.9118656 291.804919
42250516.5404777 299.718879
44976439.5608933 303.83306
48624479.8037405 310.270827
52744761.0494935 318.184787
56951060.692861 326.098748
61072202.12259 334.012708
65192483.368343 341.926669
68126570.9109865 349.023932
70140261.599151 354.457106
72232229.029145 361.71157
73691101.052693 369.625531
75322009.8714715 377.539491
77554187.2895775 385.453452
81589310.3216915 393.367412
86095814.1727355 400.134928
90574792.136542 404.990926
96011154.8658025 409.195333
101762344.930334 413.81181
107600413.576456 417.768791
113094408.632119 421.725771
119103653.889494 425.682751
125112899.14687 429.639731
131293321.015499 433.596712
137474603.068104 437.553692
142968598.123767 441.510672
149787276.502698 446.032581
156918201.664972 451.403123
162327038.506996 456.334
168224459.847472 460.504178
173961026.784409 465.59765
179453301.472119 471.188024
185994140.426755 477.123495
192716478.200358 483.058965
199025927.665409 488.334939
205121191.3204 492.951416
211681814.506486 497.850357
219113804.060413 502.34157
225694211.477951 505.902852
233327484.082296 510.475185
241261821.078292 514.714807
248936382.513492 518.539888
256519764.44722 521.969271
263667033.105041 525.266755
269333064.955933 527.904741
275685523.619792 530.762561
282651293.458645 533.77758
287876050.929773 536.478199
295228903.557893 540.372547
302504339.628159 544.919757
309337641.134686 550.547462
316926184.172271 555.497005
322385771.868888 562.19857
327193340.111583 570.112531
331971662.09909 578.026491
335519921.000704 585.940452
339629019.854767 593.854413
344422825.153844 600.322875
348265266.975301 605.08167
352518016.553381 609.682334
357925993.211428 616.607049
363076774.860608 621.223526
368227556.509787 628.148242
373279417.001709 633.612111
377522704.556051 638.573685
380795704.585297 643.466425
380795704.585297 643.466425
385617035.771611 648.780536
390718786.93415 655.187607
395140132.571555 661.123077
400161886.624311 667.718044
405312668.273491 675.236307
408918559.501506 681.567475
413425063.35255 688.162442
418532835.802922 696.076403
423609641.630152 702.67137
429269652.193211 709.423537
434733540.809709 716.520801
439994426.007835 724.434761
444457920.660071 731.689225
449666334.635652 738.943689
453729843.738979 745.868405
458708588.592929 754.77161
459309857.192256 762.685571
461026784.40865 770.599531
461541174.426387 778.513492
462485656.432198 786.427452
463602175.233239 794.341413
465404260.663271 802.255373
467636438.081377 810.169334
470297847.303582 818.083294
473130433.13704 825.997255
476135055.765727 833.911215
478968501.783162 841.825176
481101758.044011 849.644923
485252145.728929 858.048795
489527260.090388 865.567058
493905596.528986 873.481018
497682664.368255 881.394979
500000000 889.308939
499828823.388747 897.882396
496377765.276438 902.894571
493905596.528986 909.753337
488342786.755231 916.348304
482316337.818333 922.283775
475877860.756859 927.559748
469439383.695385 932.835722
463129934.230333 938.111696
456991661.376535 942.728173
451595727.294153 947.627114
445855719.621313 952.177858
439693361.616183 956.577604
434479786.536745 961.036881
429643832.222836 965.622662
424308111.018785 969.635639
417545344.598303 975.043512
411149876.735637 979.659989
405140631.478261 983.616969
398513774.12601 986.782553
391749287.337576 990.651601
385430375.848787 993.37752
379411668.567674 997.120772
372476865.351962 998.785393
365813880.272713 1001.555279
359746142.504959 1003.629764
353987210.784643 1004.984662
348902663.301627 1006.896552
341624646.679432 1008.363444
334490280.781253 1009.996837
327524510.9424 1012.634824
316514156.047696 1015.009012
309165604.339456 1016.591805
302426923.070307 1017.910798
295602223.403541 1019.669456
288777523.736777 1021.53803
281179518.675455 1022.857023
274312669.993859 1024.505765
267015729.324188 1025.824758
257679292.447069 1028.792494
250103652.169126 1029.781739
243407980.098784 1031.100732
237913985.043121 1032.419726
231089285.376357 1033.738719
222873668.220159 1036.112907
215078681.028299 1037.695699
208296990.560341 1039.014693
200725651.202279 1041.388881
193102700.805649 1042.971673
186278001.138884 1044.290666
180102740.374111 1046.614253
172963213.372076 1048.247647
164258151.53345 1050.885633
157459257.38597 1052.204627
151793225.535077 1055.446114
144041247.542025 1057.952201
138848316.878014 1059.239259
130520875.804917 1061.437581
122794703.331149 1064.075568
115454753.462671 1066.713555
107728580.988902 1069.351541
100389491.3044 1071.989528
92920513.8395 1074.627515
85554758.4517375 1077.793099
79099077.710741 1079.903489
72060192.233915 1082.541476
65364520.1635725 1085.179462
58926043.1020985 1087.817449
51457065.6371985 1090.455436
43730893.1634298 1093.093423
36211164.8439368 1096.259007
28407575.8123148 1099.028893




