ARQUIVO DE REFERENCIA
Usuário: LEONARDO
Amostra: DETECTOR DE SILICIO
Comentário: 4 A e 23.8 V
Area: 0.785
320 Hz
Com filtros
Todas Grades
Parâmetros: vmode 1 sen 27 acgain 0 tc 10
Tipo: Absoluta
Responsividade (A/W)	Comprimento de onda(nm)
0.010577	203.177516
0.010577	205.285245
0.011538	208.448285
0.012500	213.719053
0.013462	218.989822
0.013462	221.097550
0.014423	227.422183
0.015385	232.692951
0.017308	242.180624
0.019231	247.452840
0.020192	250.615880
0.021154	252.725056
0.023077	255.889544
0.024038	257.998720
0.027885	265.381559
0.031731	271.710535
0.033654	274.875023
0.036538	279.094822
0.039423	283.314622
0.041346	286.479109
0.045192	292.808085
0.047115	294.918708
0.050962	301.247684
0.053846	306.521348
0.055769	309.685835
0.058654	313.905635
0.061538	319.179298
0.064423	323.399098
0.067308	327.618897
0.069231	331.837249
0.073077	337.112361
0.074038	339.221537
0.075000	340.276848
0.075962	341.332160
0.076923	343.441336
0.079808	349.768864
0.081731	352.933352
0.082692	356.096392
0.084615	360.314744
0.085577	365.585512
0.086538	371.910145
0.088462	378.236225
0.089423	380.345401
0.091346	386.671481
0.092308	388.780657
0.093269	390.889833
0.095192	393.000457
0.098077	398.274120
0.100000	400.384744
0.101923	402.495368
0.102885	403.550679
0.104808	404.607439
0.106731	406.718062
0.108654	407.774822
0.110577	408.831581
0.111538	409.886893
0.113462	410.943652
0.114423	411.998964
0.117308	413.057171
0.118269	414.112483
0.122115	416.226002
0.126923	419.394832
0.129808	420.453039
0.132692	422.565111
0.134615	423.621870
0.136538	424.678629
0.139423	426.790701
0.141346	427.847460
0.145192	429.960979
0.147115	431.017738
0.149038	432.074498
0.154808	435.244776
0.158654	437.358295
0.162500	439.471813
0.164423	440.528573
0.167308	442.640644
0.170192	443.698851
0.175962	446.869129
0.176923	447.924441
0.182692	452.148583
0.185577	454.260654
0.187500	455.317414
0.194231	459.543004
0.198077	462.710387
0.201923	465.877770
0.205769	469.045153
0.209615	472.212536
0.214423	476.435230
0.217308	478.547302
0.221154	481.714685
0.225962	484.883515
0.231731	489.107658
0.235577	492.275041
0.237500	493.331800
0.241346	495.445319
0.243269	496.502078
0.245192	497.558838
0.247115	499.669461
0.250962	501.782980
0.252885	502.839739
0.254808	503.896499
0.257692	504.954706
0.259615	506.011465
0.262500	508.123536
0.268269	510.239950
0.269231	510.241398
0.272115	511.299605
0.274038	512.356364
0.276923	513.414571
0.278846	514.471331
0.284615	516.587745
0.285577	517.643057
0.288462	518.701264
0.291346	519.759471
0.298077	521.877332
0.301923	523.990851
0.306731	526.105817
0.309615	527.164025
0.315385	529.280439
0.322115	532.452164
0.326923	534.567131
0.332692	536.683545
0.334615	537.740304
0.341346	540.912030
0.345192	541.971685
0.349038	544.085203
0.353846	547.254034
0.354808	548.309346
0.360577	551.479624
0.364423	554.647007
0.369231	557.815838
0.371154	559.926461
0.375000	563.093844
0.376923	566.258332
0.379808	570.478131
0.380769	572.587307
0.382692	574.697931
0.385577	579.971595
0.388462	585.245258
0.391346	590.518922
0.395192	594.740169
0.397115	596.850793
0.400000	600.016728
0.400962	602.125904
0.402885	604.236528
0.406731	607.403910
0.410577	611.625158
0.415385	615.847852
0.419231	619.015235
0.423077	623.236482
0.426923	626.403865
0.431731	631.680424
0.436538	635.903119
0.440385	640.124366
0.445192	644.347061
0.449038	648.568308
0.451923	651.734244
0.456731	657.010802
0.460577	661.232050
0.464423	665.453297
0.469231	671.783720
0.472115	676.003519
0.476923	681.280078
0.480769	686.555190
0.482692	689.719677
0.485577	692.885613
0.489423	697.106860
0.494231	703.437283
0.499038	709.767706
0.500000	711.876882
0.503846	716.098129
0.508654	721.374688
0.513462	725.597383
0.517308	730.872494
0.522115	737.202917
0.525000	741.422717
0.527885	744.588652
0.529808	749.860868
0.531731	755.133084
0.532692	755.134532
0.533654	761.459164
0.534615	764.622204
0.534615	769.891525
0.535577	777.270022
0.536538	783.594655
0.537500	790.973152
0.539423	797.299232
0.540385	802.570000
0.542308	808.896081
0.545192	816.277473
0.546154	819.440513
0.547115	822.603553
0.550000	828.931081
0.551923	834.203297
0.554808	839.476960
0.556731	844.749176
0.558654	850.021393
0.561538	856.348920
0.564423	859.514856
0.566346	862.679343
0.569231	866.899143
0.573077	873.228118
0.575962	878.501782
0.578846	884.829310
0.579808	889.046214
0.579808	894.315535
0.578846	899.583408
0.575962	904.848386
0.573077	909.059500
0.571154	911.164333
0.566346	916.426416
0.561538	920.634635
0.555769	924.841406
0.550000	929.048177
0.545192	932.202531
0.543269	934.307364
0.536538	938.512688
0.529808	942.718011
0.527885	944.822844
0.523077	947.977198
0.519231	950.079136
0.516346	953.236386
0.511538	956.390740
0.509615	958.495574
0.506731	960.598959
0.501923	963.753313
0.497115	966.907668
0.491346	971.114439
0.485577	975.321210
0.479808	978.474117
0.474038	982.680888
0.469231	984.781378
0.462500	987.932837
0.455769	991.084296
0.450000	993.183339
0.444231	995.282382
0.439423	997.382872
0.435577	998.430946
0.431731	999.479019
0.425000	1001.576614
0.418269	1003.674209
0.414423	1004.722283
0.409615	1005.768909
0.410577	1005.770357
0.406731	1006.818430
0.401923	1007.865056
0.398077	1008.913130
0.394231	1009.961204
0.389423	1011.007830
0.383654	1012.053008
0.376923	1013.096739
0.372115	1014.143365
0.368269	1015.191439
0.363462	1016.238065
0.358654	1017.284691
0.353846	1018.331317
0.348077	1019.376496
0.345192	1020.426017
0.339423	1021.471196
0.331731	1022.513479
0.334615	1022.517822
0.325962	1023.558657
0.320192	1024.603836
0.315385	1025.650462
0.309615	1026.695640
0.304808	1027.742267
0.298077	1028.785997
0.293269	1029.832623
0.287500	1030.877802
0.280769	1031.921533
0.277885	1032.971054
0.271154	1034.014785
0.267308	1035.062859
0.261538	1036.108037
0.255769	1037.153216
0.249038	1039.250811
0.243269	1040.295989
0.237500	1041.341168
0.232692	1042.387794
0.225962	1043.431525
0.221154	1044.478151
0.215385	1045.523329
0.210577	1046.569955
0.207692	1047.619477
0.201923	1049.718519
0.195192	1050.762250
0.197115	1050.765145
0.189423	1052.861293
0.183654	1053.906471
0.179808	1054.954545
0.175000	1056.001171
0.169231	1058.100214
0.164423	1059.146840
0.160577	1060.194913
0.156731	1061.242987
0.150000	1063.340582
0.146154	1064.388656
0.139423	1066.486251
0.135577	1067.534325
0.129808	1069.633367
0.125962	1070.681441
0.122115	1071.729515
0.115385	1073.827110
0.109615	1075.926152
0.102885	1078.023747
0.100000	1079.073269
0.095192	1080.119895
0.089423	1082.218937
0.082692	1084.316532
0.078846	1085.364606
0.074038	1087.465096
0.068269	1089.564139
0.062500	1090.609318
0.057692	1092.709808
0.052885	1093.756434
0.049038	1094.804508
0.044231	1096.904998
0.039423	1097.951624
0.037500	1099.002593
