ARQUIVO DE REFERENCIA
AMOSTRA: MCT20-010-E-LN6N
Usuário: Paulo Henrique Diniz

Responsividade (A/W)	Comprimento de onda(nm)

0.120466 2032.209371
0.122907 2122.901135
0.124787 2213.632409
0.127414 2304.311003
0.130129 2397.255026
0.133602 2485.602341
0.136379 2578.541973
0.139603 2666.906849
0.142727 2746.192451
0.14243 2848.435248
0.139269 2939.522114
0.135735 3030.635321
0.132761 3121.709017
0.13128 3212.677353
0.131293 3303.540328
0.133236 3394.267212
0.13356 3485.108237
0.135179 3578.129524
0.139871 3655.032923
0.146104 3722.741152
0.152836 3790.414261
0.159756 3869.432071
0.166053 3948.493782
0.173532 4016.11421
0.182004 4072.306526
0.189106 4117.237551
0.195088 4162.247596
0.202024 4210.976285
0.208544 4252.162326
0.214899 4297.146031
0.221877 4350.69445
0.226862 4387.166121
0.232473 4454.918251
0.237527 4545.425634
0.240838 4624.698066
0.244646 4703.935377
0.248827 4783.146349
0.254376 4853.652126
0.259242 4930.065549
0.26388 5009.244327
0.269528 5046.705871
0.273837 5105.265299
0.277556 5161.792931
0.280944 5223.84249
0.282264 5314.613274
0.284331 5405.331379
0.286771 5496.023143
0.289398 5586.701737
0.291652 5677.406671
0.293719 5768.124775
0.297031 5858.755079
0.29754 5938.225062
0.29936 6040.318598
0.297817 6127.505367
0.296959 6222.21576
0.296039 6313.144585
0.295865 6404.02073
0.299426 6494.633474
0.302053 6585.312068
0.306918 6653.116877
0.311412 6743.663771
0.316755 6822.792795
0.322448 6879.181199
0.328555 6935.540336
0.333805 6981.638716
0.340518 7025.560426
0.346752 7093.268655
0.353483 7160.941764
0.360963 7239.920064
0.365458 7330.466958
0.369578 7421.040191
0.374259 7511.573914
0.378192 7590.802446
0.383055 7647.249383
0.389162 7703.608521
0.395248 7784.956732
0.400136 7839.130339
0.406117 7884.140384
0.4126 7951.831053
0.41684 8008.321891
0.422697 8053.340716
0.428496 8129.688289
0.432981 8197.519857
0.437477 8256.741974
0.443028 8335.856365
0.448217 8412.724644
0.455251 8505.363998
0.460367 8590.188056
0.466973 8652.191008
0.473459 8742.597421
0.479195 8810.34077
0.484433 8878.119239
0.490042 8934.513496
0.495653 8996.58669
0.500391 9051.149428
0.507618 9103.643588
0.514725 9182.648228
0.52239 9250.255486
0.530306 9329.203057
0.535293 9389.427171
0.542023 9441.956451
0.547259 9498.377048
0.552993 9554.762525
0.558091 9599.834868
0.562964 9644.923096
0.569198 9712.631325
0.576178 9780.286874
0.582412 9847.995103
0.588022 9904.38936
0.593881 9968.337972
0.599677 10017.147144
0.603735 10107.724768
0.607486 10184.2167929999
0.612515 10265.979813
0.615531 10334.052491
0.620212 10424.586214
0.624332 10511.37349
0.628827 10605.706341
0.633882 10696.213724
0.637916 10789.064678
0.643057 10877.294341
0.647701 10970.102272
0.652232 11058.374957
0.655419 11149.014041
0.660134 11214.557812
0.664218 11307.405254
0.668525 11395.693743
0.67302 11488.512211
0.677515 11581.330678
0.682569 11669.566487
0.687063 11760.11338
0.690997 11850.699784
0.696238 11941.193997
0.699052 12031.859421
0.701493 12122.551185
0.704245 12217.006956
0.707307 12303.868863
0.708627 12394.639648
0.711254 12485.318242
0.713323 12587.394218
0.715834 12685.143197
0.718766 12783.882065
0.723009 12859.302689
0.729058 12938.38196
0.73654 13028.718132
0.742714 13119.146495
0.748514 13198.243326
0.756931 13299.87152
0.761838 13379.031274
0.768157 13458.091522
0.774145 13548.5330539999
0.782932 13630.168422
0.789848 13683.721231
0.796081 13747.643502
0.800319 13785.204554
0.80706 13832.91034
0.814705 13889.160981
0.822563 13954.005393
0.825742 13987.855118
0.83247 14035.56174
0.83827 14111.909313
0.844194 14190.997364
0.849681 14258.758273
0.855854 14337.828764
0.863148 14421.363383
0.871375 14507.103726
0.877525 14567.245894
0.883591 14619.822
0.888578 14676.260158
0.893439 14721.349223
0.899797 14789.048672
0.903545 14879.648246
0.908786 14970.142459
0.91328 15060.689352
0.917774 15151.236246
0.922829 15241.743629
0.926763 15332.330032
0.93107 15422.890096
0.935938 15513.410649
0.939348 15597.219205
0.942126 15694.701987
0.943944 15785.437651
0.946073 15876.151365
0.948327 15966.856299
0.950767 16057.548064
0.952648 16148.279338
